iter	Passed	Remaining
344	3105	5895
345	3114	5886
346	3123	5877
347	3132	5868
348	3140	5857
349	3148	5847
350	3156	5836
351	3165	5828
352	3173	5817
353	3182	5807
354	3190	5796
355	3200	5790
356	3209	5779
357	3217	5770
358	3228	5764
359	3239	5759
360	3251	5755
361	3259	5745
362	3268	5735
363	3277	5726
364	3287	5718
365	3294	5707
366	3303	5698
367	3314	5691
368	3322	5681
369	3331	5672
370	3339	5661
371	3347	5651
372	3356	5641
373	3366	5634
374	3374	5623
375	3382	5613
376	3391	5604
377	3403	5599
378	3411	5590
379	3420	5580
380	3428	5570
381	3437	5561
382	3446	5552
383	3454	5542
384	3463	5532
385	3472	5522
386	3480	5512
387	3488	5502
388	3497	5493
389	3505	5483
390	3514	5473
391	3523	5464
392	3531	5455
393	3540	5445
394	3551	5440
395	3562	5434
396	3571	5424
397	3579	5414
398	3588	5405
399	3596	5395
400	3604	5384
401	3613	5375
402	3623	5367
403	3631	5357
404	3641	5349
405	3649	5339
406	3659	5332
407	3668	5322
408	3677	5313
409	3685	5303
410	3695	5296
411	3707	5291
